英単語(cluster)	発音記号	意味	例文（ほとんど同じ単語を使用したもの）	例文（少し単語を変更したもの）	補足説明（1単語の意味や一緒に覚えたほうが良い単語等）	セクション
wake up at 7:00	weɪk ʌp æt ˈsɛvən	7時に目を覚ます	I always wake up at 7:00.	She woke up at 6:00 this morning.	wake up: 目を覚ます。get up（布団から出る・起き上がる）との違いに注意。	日常生活
stay awake until midnight	steɪ əˈweɪk ənˈtɪl ˈmɪdˌnaɪt	真夜中まで起きている	I had to stay awake until midnight.	He stayed awake until 2 a.m. last night.	awake: 目が覚めて（形容詞）、midnight: 夜の12時	日常生活
shave with an electric razor	ʃeɪv wɪð ən ɪˈlɛktrɪk ˈreɪzər	電気カミソリでひげを剃る	I shave with an electric razor every morning.	He shaves with a traditional razor.	shave: （ひげなど）を剃る、razor: カミソリ	日常生活
brush my teeth	brʌʃ maɪ tiθ	歯を磨く	I brush my teeth after meals.	She brushes her teeth twice a day.	tooth（歯）の複数形がteeth。brush: 磨く	日常生活
weigh myself	weɪ maɪˈsɛlf	自分の体重を量る	I weigh myself every morning.	He weighs himself once a week.	weigh: ～の重さを量る。名詞形は weight（体重、重さ）。	日常生活
take a warm bath	teɪk ə wɔrm bæθ	温かいお風呂に入る	I take a warm bath to relax.	She took a hot bath last night.	take a bath: お風呂に入る、入浴する	日常生活
a shower will refresh you	ə ˈʃaʊər wɪl rɪˈfrɛʃ ju	シャワーを浴びるとすっきりしますよ	A shower will refresh you after work.	A quick nap will refresh you.	refresh: ～をさわやかにする、元気づける	日常生活
arrange a schedule	əˈreɪndʒ ə ˈskɛdʒuəl	スケジュールを調整する	Let's arrange a schedule for the meeting.	I arranged a meeting for tomorrow.	arrange: ～を手配する、きちんと並べる	日常生活
flush the toilet	flʌʃ ðə ˈtɔɪlət	トイレの水を流す	Please flush the toilet after use.	He forgot to flush the toilet.	flush: （水で）～を洗い流す	日常生活
do the laundry	du ðə ˈlɔndri	洗濯をする	I do the laundry on weekends.	My mother does the laundry every day.	laundry: 洗濯、洗濯物。do the dishes（皿洗いをする）も一緒に覚えると良い。	日常生活
fold my clothes	foʊld maɪ kloʊz	自分の服を畳む	I fold my clothes neatly.	She folded the towels.	fold: ～を折りたたむ	日常生活
vacuum cleaner	ˈvækjuəm ˈklinər	掃除機	I bought a new vacuum cleaner.	He used a vacuum cleaner to clean the room.	vacuum: 真空。動詞で「掃除機をかける」という意味もある。	日常生活
nail clippers	neɪl ˈklɪpərz	爪切り	I need to find my nail clippers.	She bought new nail clippers yesterday.	nail: 爪、釘。clip: ～をはさむ、切る	日常生活
fall asleep immediately	fɔl əˈslip ɪˈmidiətli	すぐに眠りに落ちる	I was so tired that I fell asleep immediately.	He falls asleep quickly on the train.	fall asleep: 眠りにつく。immediately: 直ちに、すぐに	日常生活
make haste	meɪk heɪst	急ぐ	We must make haste to catch the train.	She made haste to finish her homework.	haste: 急ぐこと。hurry up と同じ意味のフォーマルな表現。	日常生活
keep a cat as a pet	kip ə kæt æz ə pɛt	ペットとして猫を飼う	I want to keep a cat as a pet.	They keep a dog as a pet.	keep: （動物）を飼う。as: ～として	日常生活
tend to stay at home	tɛnd tu steɪ æt hoʊm	家に引きこもりがちである	I tend to stay at home on rainy days.	He tends to eat too much.	tend to do: ～する傾向がある、～しがちである	日常生活
clean a house thoroughly	klin ə haʊs ˈθɜroʊli	家を徹底的に掃除する	We need to clean a house thoroughly.	She cleaned her room perfectly.	thoroughly: 徹底的に、完全に（副詞）	日常生活
water the plants	ˈwɔtər ðə plænts	植物に水をやる	Please water the plants while I'm away.	He watered the flowers in the garden.	ここでのwaterは動詞（～に水をやる）として使われている点に注意。	日常生活
greet a friend	grit ə frɛnd	友人に挨拶する	I always greet a friend with a smile.	She greeted her teacher politely.	greet: ～に挨拶する。名詞形は greeting（挨拶）。	日常生活
shake hands with someone	ʃeɪk hændz wɪð ˈsʌmˌwʌn	（人）と握手する	I shake hands with someone new.	He shook hands with the president.	shake hands with: ～と握手する（handsと複数形になることに注意）	日常生活
wipe off excess oil	waɪp ɔf ˈɛksɛs ˈɔɪl	余分な油を拭き取る	Wipe off excess oil with a paper towel.	She wiped off the dirt from her shoes.	wipe off: ～を拭き取る、excess: 余分な、過剰な	日常生活
hang clothes on a hook	hæŋ kloʊz ɑn ə hʊk	フックに服を掛ける	Hang clothes on a hook behind the door.	He hung his coat on the wall.	hang: ～を掛ける（過去形・過去分詞は hung）	日常生活
sit on a cushion	sɪt ɑn ə ˈkʊʃən	クッションの上に座る	I like to sit on a cushion.	She sat on a comfortable sofa.	cushion: クッション、座布団	日常生活
behave well	bɪˈheɪv wɛl	行儀よくする	Children should behave well in public.	The students behaved nicely in class.	behave: 振る舞う。名詞形は behavior（振る舞い、態度）。	日常生活
clean out a drawer	klin aʊt ə drɔr	引き出しの中をきれいに片付ける	I need to clean out a drawer.	She cleaned out her closet.	clean out: ～の中をすっかり掃除する、drawer: 引き出し	日常生活
hammer a nail	ˈhæmər ə neɪl	釘を打つ	Use this tool to hammer a nail.	He hammered a nail into the wall.	hammer: ハンマーで打つ（動詞）、nail: 釘	日常生活
a rubber band	ə ˈrʌbər bænd	輪ゴム	Keep these pens together with a rubber band.	She tied her hair with a rubber band.	rubber: ゴム	日常生活
mail a parcel	meɪl ə ˈpɑrsəl	小包を郵送する	I will mail a parcel to my family.	She mailed a package to her friend.	parcel: 小包（packageと同じ意味）	日常生活
work up a thirst	wɜrk ʌp ə θɜrst	喉が渇く	Exercising will work up a thirst.	Running worked up a good appetite.	work up: （食欲や渇きを）増進させる、thirst: 喉の渇き	日常生活
use a key to open a lock	juz ə ki tu ˈoʊpən ə lɑk	鍵を使って錠を開ける	Use a key to open a lock on the door.	I used a card to open the gate.	lock: 錠前、key: 鍵	日常生活
turn on the radio	tɜrn ɑn ðə ˈreɪdiˌoʊ	ラジオをつける	Turn on the radio to listen to the news.	He turned on the TV.	turn on: （スイッチ・電源を）入れる。反対は turn off。	日常生活
write your address	raɪt jʊər ˈæˌdrɛs	住所を書く	Please write your address here.	She wrote her name on the paper.	address: 住所、宛名、演説	日常生活
shelter from the rain	ˈʃɛltər frʌm ðə reɪn	雨宿りをする	We found a shelter from the rain.	They took shelter from the storm.	shelter: 避難所、雨宿り	日常生活
